Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftRealTeil0,fftRealTeil1,fftRealTeil2,fftRealTeil3,fftRealTeil4,fftRealTeil5,fftRealTeil6,fftRealTeil7,fftRealTeil8,fftRealTeil9,fftRealTeil10,fftRealTeil11,fftRealTeil12,fftRealTeil13,fftRealTeil14,fftRealTeil15
Ringfinger1,91.80726337495545,483.3011002589959,103.89113543342923,490.24961328823537,91.8072633749589,449.3000297710878,-126.7765556645345,493.2720844548963,-269.12751311589477,46.108791017728436,0.0,0.0,0.0,168.90654603547705,207.32584318980253,-38.93300104116827,1993.285434487876,0.0,-409.64126979064844,1319.023118311794,-958.3202749240922,1034.965159563784,-360.7028433877019,-625.7054662514065,-1993.285434487876,0.0,409.64126979064844,-1319.023118311794,958.3202749240922,-1034.965159563784,360.7028433877019,625.7054662514065
Ringfinger1,93.76017197420668,465.94620448986984,102.0044346262994,495.82454556069405,93.76017197420924,-141.56928701260313,163.83115163521643,489.5370260337578,-330.5393814429848,67.81923027204806,465.94620448987325,-14.939170535415542,14.939170535413723,67.3102303338751,215.73464114401645,-32.01677877452275,2096.7027662702617,0.0,-395.398066396997,1236.9023505739797,-1174.1286648415585,922.5741014287033,-62.773685732421086,-390.35729616875403,-2096.7027662702617,0.0,395.398066396997,-1236.9023505739797,1174.1286648415585,-922.5741014287033,62.773685732421086,390.35729616875403
Ringfinger1,112.31600939306503,515.3826519723976,123.7565821685682,529.3263031871439,112.31600939306804,285.3138920553347,-41.89028538283446,550.5197162951893,-223.87651328696757,28.797799247181274,0.0,0.0,0.0,191.4885525269117,167.6937720087367,-27.61520237862257,2361.205703452739,0.0,-439.19133091579755,1490.1429263736657,-1174.0711614465758,1187.1345420061632,-316.07176492708993,-566.5442525498643,-2361.205703452739,0.0,439.19133091579755,-1490.1429263736657,1174.0711614465758,-1187.1345420061632,316.07176492708993,566.5442525498643
Ringfinger1,112.95948150587813,732.2102558867115,119.5907012760847,732.2102558867115,81.9176720625951,226.27441233664103,-15.268224572702366,750.10600203699,-190.01473806114268,11.655102477056602,0.0,0.0,0.0,116.40444772983778,231.4117268136515,-27.38263549388833,3773.5210681545095,0.0,-393.5242704052043,2778.3686819487493,-1017.3209060687994,2268.879248110534,-1356.4688548677448,-834.5036564041079,-2005.2586948896455,1768.262373264864,-1035.0649147036065,-1555.058445733408,-263.6205532208884,-1049.120077295015,531.617319958889,-122.20409951260876
Ringfinger1,119.15930096108256,480.7187802180157,119.29261565333397,480.7187802180157,110.33168779093967,161.406817967204,-11.66730536715454,514.7967026651596,-138.81578502806315,11.225679216567954,0.0,0.0,0.0,157.32877985745563,133.79334181118202,-18.837533935439154,2389.6624010900487,0.0,-588.4353280591681,1701.7481602185396,-625.1765873717945,1372.7233663416384,-739.8932128263802,-651.4187502911991,-1255.259348892127,1134.4030521979216,-433.05595070983054,-1019.1203819072122,-117.4640174495114,-511.0757895472097,189.64749065136436,51.895163453495684
Ringfinger1,111.06654438990547,591.2105396052234,120.60184447573977,591.2105396052234,70.48968864715425,170.6588853586827,-8.476668700080609,603.1098776611594,-197.60567970312286,18.42090389197324,0.0,0.0,0.0,70.5971107961127,218.71135080036765,-27.95753049867406,2805.6464042487078,0.0,-354.52391400917725,2115.362676056083,-745.6410437794272,1608.867224733589,-1073.8421829600684,-639.044382305156,-1529.071096158723,1276.575308089985,-697.428815061036,-1117.717673410396,-79.79612857486575,-628.9542829964129,219.8170624959277,-119.24509969631208
Ringfinger1,77.4835318839826,364.63375651128706,82.48918867075001,367.8332123046823,77.48353188398528,381.7642799999012,-119.09458384312484,363.55354682609243,-237.38810046741162,48.375512080609155,0.0,0.0,0.0,151.45759191900402,136.53458232317655,-26.791385737970046,1489.4132700644568,0.0,-286.871648355141,1015.0038171822193,-686.3084390695394,803.1048309949174,-328.6953781126799,-494.8090996496757,-1489.4132700644568,0.0,286.871648355141,-1015.0038171822193,686.3084390695394,-803.1048309949174,328.6953781126799,494.8090996496757
Ringfinger1,78.79352638259496,322.104303846056,85.76531934553387,322.104303846056,79.51097183470722,129.629651995926,-16.33478549206029,330.9609398530385,-71.87339765796662,1.9128820029827978,0.0,0.0,0.0,95.79393258627931,115.69106910846108,-17.622955102661734,1538.4876813544927,0.0,-347.926124235474,947.685420693102,-732.2885447099891,806.1991366445036,-215.39687598311286,-370.87066789555166,-1538.4876813544927,0.0,347.926124235474,-947.685420693102,732.2885447099891,-806.1991366445036,215.39687598311286,370.87066789555166
Ringfinger1,76.832571338949,341.01706056995465,97.25503519158886,350.8111908389448,76.8325713389512,212.645518539789,-40.276636962143584,359.17286941248176,-140.68628161046536,16.86437022632964,0.0,0.0,0.0,104.2764631972575,157.03431103485286,-27.82340349595026,1495.726055981247,0.0,-350.39459778042124,947.520072370751,-775.540660849449,720.185395131798,-171.9794115213021,-451.39812845405925,-1495.726055981247,0.0,350.39459778042124,-947.520072370751,775.540660849449,-720.185395131798,171.9794115213021,451.39812845405925
Ringfinger1,165.69458081706213,532.0589974179541,177.9292229800925,532.0589974179541,153.2744141804883,179.0615563932206,-16.219991033957967,559.5231521707213,-143.7100450888654,10.827822342055015,0.0,0.0,0.0,176.670556422441,178.53321917774292,-27.132974892441467,2613.6781034145065,0.0,-557.0700796962471,1583.5005237013302,-1331.8092352076574,1281.8688682068491,-251.69128849367291,-579.4255532892746,-2613.6781034145065,0.0,557.0700796962471,-1583.5005237013302,1331.8092352076574,-1281.8688682068491,251.69128849367291,579.4255532892746
Ringfinger2,165.37291338107104,500.1211019724958,190.67575581545304,500.1211019724958,166.9891485056512,181.74505469513315,-23.746605082570568,505.3190071929107,-42.61744557212296,-9.284210011456139,0.0,0.0,0.0,180.09927413508785,170.15867890105005,-24.696354095325148,2747.7476289645547,0.0,-643.8090516432437,1707.3623917171187,-1346.6392340600523,1401.1083949045023,-360.7231576570663,-730.4281065886834,-2747.7476289645547,0.0,643.8090516432437,-1707.3623917171187,1346.6392340600523,-1401.1083949045023,360.7231576570663,730.4281065886834
Ringfinger1,176.1163978037198,209.38328968547543,177.37450690063156,212.51774134158396,176.11639780372138,14.706160055518922,0.9636429426791437,212.51774134158518,-21.749286413772552,2.0888345966479847,209.38328968547694,-1.567225828055598,1.567225828054461,173.55495744883729,27.66626168490916,-4.557168873723441,1381.1738300161269,0.0,-504.24969447463764,815.110281954862,-775.3919357314107,605.7818942847161,-39.71834622345125,-502.37335191544094,-1381.1738300161269,0.0,504.24969447463764,-815.110281954862,775.3919357314107,-605.7818942847161,39.71834622345125,502.37335191544094
Ringfinger2,165.37291338107104,564.2790740520917,172.33400033099863,551.8439391666697,145.4463156612369,145.39531646646174,0.2859340790339502,552.5788799058681,-265.3684663208826,46.125064294286744,209.38328968547694,-1.567225828055598,1.567225828054461,144.64098941830866,213.01039831442677,-31.424308627014426,2722.0158603683794,0.0,-597.203153234753,1623.012360994372,-1418.5147128411927,1303.5011475271867,-204.4976481531794,-581.2841609804643,-2722.0158603683794,0.0,597.203153234753,-1623.012360994372,1418.5147128411927,-1303.5011475271867,204.4976481531794,581.2841609804643